Candidato - nome de urna,Part./Colig.,Votos,% (*)
FRANCISCO MARCELINO,AVANTE,59,"0,01"
FRANK DE PINHO,DEM,393,"0,03"
FRED AISC,DC,991,"0,08"
FRED PALMEIRA,PDT,131,"0,01"
FREDNEY MENDES,PT,33,0
GABI DO SANTUµRIO PATAS,PATRIOTA,984,"0,08"
GABRIEL,PATRIOTA,13088,"1,12"
GABRIEL  THALES,DEM,128,"0,01"
GABRIEL LOPO,UP,869,"0,07"
GABRIEL RIBAS,PTB,398,"0,03"
GABRIEL SAPUCAIA,NOVO,887,"0,08"
GABRIEL VAZ,NOVO,328,"0,03"
GABRIELA MARRECO,PCB,96,"0,01"
GABRIELLA ROBERTA,PDT,3,0
GAGUINHO DA LANTERNAGEM,DEM,1298,"0,11"
G“,SOLIDARIEDADE,449,"0,04"
GEDEON DE SOUZA,DC,403,"0,03"
GEOVANE NEG«O,PSB,35,0
GERALDA MAGALH«ES,PSB,40,0
GERALDA RODRIGUES,PP,120,"0,01"
GERALDINHO DA ASSOCIAÄ«O,PT,501,"0,04"
GERALDINHO DO GµS,PT,463,"0,04"
GERALDO CABEÄ«O,REPUBLICANOS,125,"0,01"
GERALDO DA DISTRIBUIDORA ,PATRIOTA,510,"0,04"
GERALDO DO ESCOLAR,MDB,503,"0,04"
GERALDO MARACUNAIA,PDT,117,"0,01"
GERALDO NERES,UP,372,"0,03"
GERALDO RHODES,PTB,249,"0,02"
GERALDO SOARES,PSC,213,"0,02"
GESSê,PTB,233,"0,02"
GETÈLIO CORREIA,PC do B,48,0
GEZIEL RIBEIRO,PTC,121,"0,01"
GIGI DO SAL«O,PSD,283,"0,02"
GIL FISIOTERAPEUTA,PSL,105,"0,01"
GIL JÈNIOR,CIDADANIA,56,0
GILBERTO DA NORTE BH,CIDADANIA,441,"0,04"
GILBERTO DO DEP‡SITO,PTB,168,"0,01"
GILBERTO LOPES,REPUBLICANOS,100,"0,01"
GILBERTO SILVA,PODE,506,"0,04"
GILDETE ALVES,PSC,214,"0,02"
GILMAR DEPOSITO QUATRO IRM«OS,PSC,315,"0,03"
GILSON GUIMAR«ES,REDE,3593,"0,31"
GILSON MAGALHAES,PL,57,0
GILSON REIS,PC do B,3398,"0,29"
GINITHON FERREIRA,DEM,388,"0,03"
GIOVANI MATOS,SOLIDARIEDADE,993,"0,08"
GIRLENE LAGES,AVANTE,275,"0,02"
